INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
5702 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008470037,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/21/2015,980226,172846
234 EAST    4 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003990026,12/12/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/15/2015,988927,202877
1228 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,17,2029790012,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/22/2015,1014173,241412
1319 FOSTER AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3052340030,12/17/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/19/2015,994085,170026
2590 8 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,09,1020240001,12/17/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/06/2015,999446,237471
11 MAPLE STREET,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050280001,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2015,995396,179830
492 MANHATTAN AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019470019,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/15/2015,996790,233626
2000 WHITE PLAINS ROAD,BRONX,11 BRONX,Precinct 49,15,2042570020,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2015,1020823,249040
1829 HOBART AVENUE,BRONX,10 BRONX,Precinct 45,13,2041940044,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/19/2015,1030878,248302
2900 MILTON PLACE,BRONX,10 BRONX,Precinct 45,13,2054530077,12/21/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/19/2015,1035252,236945
2373 SEVENTH AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,09,1020077502,12/17/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2015,1000317,237186
756 PELHAM PARKWAY SOUTH,BRONX,11 BRONX,Precinct 49,13,2043200022,12/04/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/23/2015,1021495,251414
1000 ALLERTON AVENUE,BRONX,11 BRONX,Precinct 49,13,2044500037,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/19/2015,1023379,254628
112-39 ROOSEVELT AVENUE,QUEENS,03 QUEENS,Precinct 115,21,,12/30/2014,Open,Further research is necessary to identify an owner for the property.,,1024641,213310
112 WHITE STREET,MANHATTAN,01 MANHATTAN,Precinct 5,01,1001970017,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/15/2015,983975,200508
121 1/2 DIVISION STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002830088,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,06/11/2015,986527,199565
839 61 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,38,3057140057,12/08/2014,Closed,Cleaning crew dispatched.  Owner refused.,06/04/2015,981689,170390
605 8 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 14,03,1007630034,12/17/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/27/2015,986745,214563
2217 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039630066,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/22/2015,1025453,243259
55 PROVOST STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025420028,12/03/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/19/2015,998228,206221
104-09 MERRICK BOULEVARD,QUEENS,12 QUEENS,Precinct 103,27,4102250009,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/05/2015,1042448,194888
245 23 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008990001,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/24/2015,985888,179711
201 WEST  106 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,07,1018780029,12/17/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2015,993659,230950
254 BROOME STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004090033,12/19/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/13/2015,987032,200882
2003 AVENUE Z,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074410238,12/29/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2015,998366,153702
