INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
1084 FLUSHING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031590015,12/03/2014,Closed,Cleaning crew dispatched.  Owner refused.,04/17/2015,1004260,196158
4024 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3009190041,12/22/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/10/2015,984784,174830
6203 10 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,38,3057300009,12/12/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/03/2015,982467,169384
172 HENRY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002710048,12/01/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/27/2015,987308,199214
1493 EASTERN PARKWAY,BROOKLYN,16 BROOKLYN,Precinct 73,41,3014710049,12/19/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/27/2015,1006938,183462
3146 PARK AVENUE,BRONX,03 BRONX,Precinct 42,17,2024190008,12/11/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/26/2015,1007198,239559
1385 TELLER AVENUE,BRONX,04 BRONX,Precinct 44,16,2027820036,12/26/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/07/2015,1009360,244038
144 JACKSON STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027490011,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/07/2015,999366,200347
514 BAINBRIDGE STREET,BROOKLYN,16 BROOKLYN,Precinct 73,41,3015100015,12/26/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2015,1007488,188001
723 61 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057850065,12/15/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,04/03/2015,981009,170930
3075 BAISLEY AVENUE,BRONX,10 BRONX,Precinct 45,13,2053400001,12/18/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/19/2015,1032366,244255
216-03 JAMAICA AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4106090063,12/15/2014,Open,Site downloaded for cleaning,,1056676,200815
3190 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2042380006,12/15/2014,Open,Site downloaded for cleaning,,1031316,249475
100 grattau st,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,12/03/2014,Open,Further research is necessary to identify an owner for the property.,,,
148 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003490037,12/01/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/09/2015,988191,201340
2958 3 AVENUE,BRONX,01 BRONX,Precinct 40,17,2023620048,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2015,1007678,237208
841 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,17,2026900001,12/05/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,05/26/2015,1011514,237951
2574 WEST    2 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,47,3072130040,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/21/2015,992189,153058
101 EAST  144 STREET,BRONX,01 BRONX,Precinct 40,08,2023510001,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2015,1003417,237005
124-12 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,28,4094410005,12/29/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,04/01/2015,1033174,192573
4196 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2029090012,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/18/2015,1012081,247912
2275 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039650039,12/20/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/14/2015,1026141,243595
2065 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019080001,12/17/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/06/2015,998332,233604
2201 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021120015,12/19/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/01/2015,1001850,245525
816 56 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056860011,12/08/2014,Closed,Cleaning crew dispatched. No graffiti on property.,06/02/2015,982410,171497
51-11 103 STREET,QUEENS,04 QUEENS,Precinct 110,21,4019420112,12/04/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/29/2015,1023466,209679
530 TINTON AVENUE,BRONX,01 BRONX,Precinct 40,08,2025820034,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/20/2015,1010145,235231
666 39 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3009140030,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2015,984152,175764
559 58 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008480050,12/12/2014,Closed,Cleaning crew dispatched. No graffiti on property.,06/02/2015,980440,172403
2172 GERRITSEN AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,46,3073410014,12/29/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/22/2015,1002118,158709
1073 GREENE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032830040,12/28/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/13/2015,1005158,191577
71 LINCOLN STREET,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,50,5007000046,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/30/2015,951374,159319
251-43 57 AVENUE,QUEENS,11 QUEENS,Precinct 111,23,4083400052,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/09/2015,1059391,216842
83-48 LITTLE NECK PARKWAY,QUEENS,13 QUEENS,Precinct 105,23,4085960024,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2015,1063473,207853
2735 WHITE PLAINS ROAD,BRONX,11 BRONX,Precinct 49,15,2045080023,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/14/2015,1020938,254769
2718 WHITEPLAINS ROAD,BRONX,11 BRONX,Precinct 49,15,2045090005,12/11/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/14/2015,1020943,254721
40 LOMBARDY STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3028340022,12/01/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/28/2015,1001036,202323
701 EAST  219 STREET,BRONX,12 BRONX,Precinct 47,12,2046670046,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/15/2015,1022307,261171
4131 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2048330009,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/15/2015,1023400,264133
2601 HENRY HUDSON PARKWAY,BRONX,08 BRONX,Precinct 50,11,2057460584,12/21/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/07/2015,1006845,260166
4766B BEDFORD AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3087827502,12/29/2014,Open,Site downloaded for cleaning,,999807,152737
526 bahill road,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,12/24/2014,Open,Property Research Required,,,
190 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,09,1017180171,12/17/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2015,998645,232313
70 SHERMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021750074,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/15/2015,1004519,253817
188 4 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,33,3004270038,12/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/08/2015,989151,186468
4366 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2030360022,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/28/2015,1012739,249446
526 EAST  187 STREET,BRONX,06 BRONX,Precinct 48,15,2030550060,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/28/2015,1014640,251490
792 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006570047,12/10/2014,Closed,Cleaning crew dispatched.  Owner refused.,03/26/2015,984497,179530
281 BROOME STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004130012,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/27/2015,986623,201039
27 ST JAMES PLACE,MANHATTAN,03 MANHATTAN,Precinct 5,01,1001160042,01/01/2015,Closed,Cleaning crew dispatched. No graffiti on property.,05/14/2015,984369,198640
703 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050480005,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/08/2015,995366,178268
575 WEST  189 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021580062,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2015,1003759,250444
550 EAST  187 STREET,BRONX,06 BRONX,Precinct 48,15,2030540022,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/28/2015,1014930,251290
86-78 108 STREET,QUEENS,09 QUEENS,Precinct 102,32,4092030039,12/26/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/01/2015,1028662,192985
405 M AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065400050,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/31/2015,992233,163989
88 LIVONIA AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,42,3035830032,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/29/2015,1007858,180346
50 EAST FOURTH STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004590010,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/28/2015,986678,204125
213 EAST    3 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003867501,12/06/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/15/2015,989070,202515
92-68 216 STREET,QUEENS,13 QUEENS,Precinct 105,23,4106320034,12/25/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/09/2015,1055909,202075
881 54 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056650043,12/08/2014,Closed,Cleaning crew dispatched.  Owner refused.,04/02/2015,983016,171689
61-35 220 STREET,QUEENS,11 QUEENS,Precinct 111,23,4076100056,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/09/2015,1051358,212032
1922 AMETHYST STREET,BRONX,11 BRONX,Precinct 49,15,2042540015,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/19/2015,1020723,248141
1780 WATSON AVENUE,BRONX,09 BRONX,Precinct 43,18,2037250001,12/04/2014,Open,Public Property (Non-City),,1021248,240850
3237 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2042470065,12/15/2014,Open,Site downloaded for cleaning,,1031588,249775
3207 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2042450021,12/15/2014,Open,Site downloaded for cleaning,,1031389,249637
184 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003440001,12/12/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,07/09/2015,988697,201137
682 JAMAICA AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041020016,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/20/2015,1017838,189582
2215 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039630071,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/08/2015,1025440,243257
5708 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008450039,12/29/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/30/2015,979037,173774
1117 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050720033,12/17/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/28/2015,992830,175030
602 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039810016,12/09/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/27/2015,1015424,185476
50 STEPHENS COURT,BROOKLYN,14 BROOKLYN,Precinct 70,40,3052240131,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/19/2015,996854,172068
7417 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059290002,12/22/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/13/2015,976597,169522
208 WILLIS AVENUE,BRONX,01 BRONX,Precinct 40,08,2022810002,12/05/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/11/2015,1005401,233705
4914 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007850041,12/11/2014,Closed,Cleaning crew dispatched.  Owner refused.,04/02/2015,982728,173492
948 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011240023,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/01/2015,994580,187297
143-01 HILLSIDE AVENUE,QUEENS,08 QUEENS,Precinct 107,24,4097010040,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/26/2015,1036194,196153
2414 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2038460008,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/21/2015,1026763,244272
475 80 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059800054,12/25/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2015,977332,167433
1860 HOBART AVENUE,BRONX,10 BRONX,Precinct 45,13,2041950008,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/20/2015,1030908,248580
3111 WILLOW LANE,BRONX,10 BRONX,Precinct 45,13,2041990032,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/24/2015,1031284,248746
650 62 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058020019,12/08/2014,Open,Site downloaded for cleaning,,980354,171110
 14809 94 AVE,QUEENS,Unspecified QUEENS,Unspecified,,,12/29/2014,Open,Property Research Required,,,
87-97 87-97,QUEENS,Unspecified QUEENS,Unspecified,,,12/15/2014,Open,Property Research Required,,,
1306 COOPER AVENUE,BRONX,11 BRONX,Precinct 49,13,,12/17/2014,Open,Property Research Required,,1028202,245838
439 20 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008880070,12/12/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/23/2015,988209,178870
162 CHARLES STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1006360070,12/30/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/27/2015,981674,206678
2817 CONEY ISLAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074300049,12/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/20/2015,995254,153443
558 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,3021060026,12/11/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/12/2015,989835,190107
168 FROST STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027400010,12/01/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2015,999638,200906
2 WEST  126 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1017230040,12/17/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/06/2015,1000238,233397
623 EAST  180 STREET,BRONX,06 BRONX,Precinct 48,15,2030700034,12/10/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/28/2015,1014423,248674
155-45 LINDEN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4121720059,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/26/2015,1041990,189704
76-04 WOODSIDE AVENUE,QUEENS,04 QUEENS,Precinct 110,25,4015220002,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2015,1015088,210144
1688 FLATBUSH AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3075970044,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/18/2015,999843,168509
216 GREENE AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019650039,12/09/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/18/2015,994597,189595
4716 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007640042,12/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/03/2015,981201,175364
4714 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007640041,12/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/03/2015,981204,175367
5601 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008400010,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/21/2015,980394,173050
180 ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004150012,12/14/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/10/2015,986818,201788
2448 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021550019,12/19/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/06/2015,1003461,248445
1057 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,07,1021220153,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/01/2015,1000831,244133
164 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032580029,12/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2015,1006441,195112
295 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,17,2023310066,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2015,1006000,236960
752 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053840043,01/01/2015,Closed,Cleaning crew dispatched.  Property cleaned.,03/31/2015,990314,170994
86-91 104 STREET,QUEENS,09 QUEENS,Precinct 102,32,4092890001,12/26/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2015,1027722,192437
509 80 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059810080,12/25/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/30/2015,977631,167201
100 PARK TERRACE WEST,MANHATTAN,12 MANHATTAN,Precinct 34,10,1022430289,11/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/15/2015,1007344,256961
3003 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2041940001,12/15/2014,Closed,Cleaning crew dispatched.  Owner refused.,03/24/2015,1030704,247971
4270 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,11,2049990057,12/03/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,03/23/2015,1023958,265452
2089 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021100065,12/19/2014,Open,Site downloaded for cleaning,,1001098,244167
94th 94th avenue,QUEENS,Unspecified QUEENS,Unspecified,,,12/01/2014,Open,Property Research Required,,,
1930 FOSTER AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,45,,12/19/2014,Open,Further research is necessary to identify an owner for the property.,,995599,170982
4181 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2029000074,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/01/2015,1011918,247828
40-40 29 STREET,QUEENS,01 QUEENS,Precinct 114,26,4004040001,12/22/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,05/29/2015,1001868,213050
124 DYCKMAN STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021740057,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2015,1004946,253430
202 CATON AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053250001,12/12/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/29/2015,990088,175156
868 EAST  180 STREET,BRONX,06 BRONX,Precinct 48,17,2031230047,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/28/2015,1016576,247276
4175 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2029000077,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/28/2015,1011896,247775
234 BANKER STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026150006,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2015,996466,203670
86-03 ROCKAWAY BOULEVARD,QUEENS,09 QUEENS,Precinct 102,32,4090580024,12/17/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2015,1024753,188163
2366 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2038340044,12/20/2014,Closed,Cleaning crew dispatched.  Owner refused.,03/24/2015,1026570,244060
165 CRESCENT STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041310067,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/18/2015,1019563,188955
422 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071300003,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/03/2015,993013,156963
773 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050640005,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/28/2015,995482,177541
2090 8 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,09,1018290001,12/02/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/06/2015,996238,231681
1095 PROSPECT AVENUE,BRONX,03 BRONX,Precinct 42,17,2026800077,12/16/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/17/2015,1012185,240174
4824 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007760045,12/15/2014,Closed,Cleaning crew dispatched.  Owner refused.,04/02/2015,982878,173681
106-50 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28,4100880024,12/15/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,03/26/2015,1039189,192318
53 ST PAUL'S PLACE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050590001,12/02/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/28/2015,994382,177029
584 EAST  163 STREET,BRONX,03 BRONX,Precinct 42,17,2026200029,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2015,1009704,239453
93 UNDERHILL AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011530010,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/08/2015,993765,186221
314 58 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008540012,12/27/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2015,979085,173465
21-24 CRESCENT STREET,QUEENS,01 QUEENS,Precinct 114,22,4008690040,12/14/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2015,1008353,223463
4721 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007660002,12/11/2014,Open,Site downloaded for cleaning,,981827,174857
2125 GLEBE AVENUE,BRONX,10 BRONX,Precinct 45,18,2039630043,12/20/2014,Open,Public Property (Non-City),,1025656,243562
2815 MIDDLETOWN ROAD,BRONX,10 BRONX,Precinct 45,13,2041520002,12/15/2014,Open,Site downloaded for cleaning,,1029590,246621
1604 clarendon rd,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,12/17/2014,Open,Further research is necessary to identify an owner for the property.,,,
139-21 SPRINGFIELD BOULEVARD,QUEENS,13 QUEENS,Precinct 105,31,4130370001,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/03/2015,1051872,184597
292 NORTH HENRY STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026070100,12/01/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/23/2015,999738,204916
15 VANDERBILT AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3018720018,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/28/2015,992388,193316
138-01 SPRINGFIELD BOULEVARD,QUEENS,13 QUEENS,Precinct 105,31,4130340035,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2015,1051975,185481
600 DEGRAW STREET,BROOKLYN,06 BROOKLYN,Precinct 78,33,3004270012,12/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/08/2015,988693,186790
951 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,17,2027040042,12/17/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2015,1012941,238917
4422 3 AVENUE,BRONX,06 BRONX,Precinct 48,15,2030640001,12/18/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/07/2015,1014381,250399
138-13 SPRINGFIELD BOULEVARD,QUEENS,13 QUEENS,Precinct 105,31,4130340034,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2015,1051955,185310
86-20 37 AVENUE,QUEENS,03 QUEENS,Precinct 115,21,4014740001,12/01/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/02/2015,1017410,212603
121 WESTCHESTER SQUARE,BRONX,05 BRONX,Precinct 46,15,2038590018,12/20/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/24/2015,1011628,248143
1686 FLATBUSH AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3075970043,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/18/2015,999833,168522
45 EAST    7 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004630035,12/14/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/18/2015,987475,204540
181 FRANKLIN STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025210027,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/23/2015,995863,206292
97 FRANKLIN STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025620027,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/23/2015,996027,204974
302 BROOME STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004197501,12/07/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/10/2015,986409,201131
4013 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3009200006,12/22/2014,Closed,Cleaning crew dispatched.  Property cleaned.,06/04/2015,984802,174843
7520 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059410047,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/19/2015,977937,168533
108-53 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28,4101410005,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/13/2015,1040170,191463
113-19 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4121690001,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/08/2015,1041317,189544
964 EAST  167 STREET,BRONX,02 BRONX,Precinct 41,17,2027440023,12/04/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2015,1014249,240515
42-20 BROADWAY,QUEENS,01 QUEENS,Precinct 114,26,4006900042,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2015,1007195,215486
216-02 115 TERRACE,QUEENS,13 QUEENS,Precinct 105,27,4112800015,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2015,1055846,194475
251-23 57 AVENUE,QUEENS,11 QUEENS,Precinct 111,23,4083400063,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/09/2015,1059385,216838
