POLICE_PRECINCT,CREATED_DATE
Precinct 101,12/07/2014
Precinct 78,12/11/2014
Precinct 90,12/03/2014
Precinct 43,12/04/2014
Precinct 40,12/05/2014
Precinct 90,12/03/2014
Precinct 66,12/10/2014
Precinct 63,12/03/2014
Precinct 48,12/10/2014
Precinct 60,12/31/2014
Precinct 103,12/15/2014
Precinct 44,12/11/2014
Precinct 73,12/26/2014
Precinct 50,12/29/2014
Precinct 45,12/20/2014
Precinct 47,12/10/2014
Precinct 45,12/15/2014
Precinct 49,12/04/2014
Precinct 45,12/15/2014
Unspecified,12/20/2014
Unspecified,12/12/2014
Unspecified,12/24/2014
Unspecified,12/17/2014
Unspecified,12/01/2014
Precinct 90,12/03/2014
Precinct 114,12/15/2014
Precinct 109,12/08/2014
Precinct 42,12/16/2014
Precinct 90,12/03/2014
Precinct 62,12/05/2014
Precinct 7,12/05/2014
Precinct 5,11/30/2014
Precinct 48,12/10/2014
Precinct 68,12/20/2014
Precinct 103,12/15/2014
Precinct 28,12/02/2014
Precinct 25,12/28/2014
Precinct 111,12/15/2014
Precinct 110,12/11/2014
Precinct 45,12/15/2014
Precinct 105,12/02/2014
Precinct 47,12/10/2014
Precinct 23,12/25/2014
Precinct 75,12/16/2014
Unspecified,12/14/2014
Unspecified,12/24/2014
Precinct 94,12/03/2014
Precinct 25,12/17/2014
Precinct 48,12/10/2014
Precinct 75,12/12/2014
Precinct 113,12/15/2014
Precinct 32,12/04/2014
Precinct 78,12/15/2014
Precinct 66,12/10/2014
Precinct 88,12/09/2014
Precinct 72,12/16/2014
Precinct 108,12/12/2014
Precinct 62,12/03/2014
Precinct 48,12/10/2014
Precinct 94,12/03/2014
Precinct 73,12/26/2014
Precinct 72,12/12/2014
Precinct 70,12/17/2014
Precinct 45,12/20/2014
Precinct 48,12/10/2014
Precinct 61,12/04/2014
Precinct 60,12/31/2014
Precinct 63,12/11/2014
Precinct 40,12/16/2014
Precinct 113,12/16/2014
Precinct 60,12/18/2014
Precinct 45,12/15/2014
Precinct 90,12/24/2014
Precinct 40,12/16/2014
Unspecified,12/20/2014
Unspecified,12/15/2014
Precinct 20,12/02/2014
Precinct 75,12/09/2014
Precinct 34,12/02/2014
Precinct 66,01/01/2015
Precinct 115,12/27/2014
Precinct 115,12/31/2014
Precinct 77,12/11/2014
Precinct 40,12/16/2014
Precinct 75,12/05/2014
Precinct 72,12/12/2014
Precinct 115,12/09/2014
Precinct 52,12/11/2014
Precinct 73,12/03/2014
Precinct 45,12/20/2014
Precinct 88,12/11/2014
Precinct 72,12/18/2014
Precinct 110,12/16/2014
Precinct 94,12/28/2014
Precinct 49,12/18/2014
Precinct 42,12/10/2014
Precinct 45,12/20/2014
Precinct 62,12/10/2014
Precinct 72,12/08/2014
Unspecified,12/20/2014
Unspecified,12/18/2014
Precinct 83,12/01/2014
Precinct 88,12/11/2014
Precinct 72,12/15/2014
Precinct 7,12/19/2014
Precinct 70,12/16/2014
Precinct 114,12/15/2014
Precinct 115,12/30/2014
Precinct 90,12/03/2014
